! 845
" 197
$ 4654
% 1
& 2686
' 80
's 56
( 797
) 798
, 11
- 77
-6 4898
-and 4798
-has 803
-that 4655
. 78
.. 850
... 751
/ 804
0 1838
0.3 958
0.70 1103
0.8 984
1 851
1.2 951
1.3 44
1.4 48
1.7 973
1.8 985
11 986
12 952
127 3609
13 4388
14 967
15 1131
17 964
18 987
19 953
1957 4705
1960 3362
1993 4900
1997 5277
1999 2148
2 852
2,950 954
2.14 4799
2.3 945
2000 3880
2001 752
2005 5087
21 955
27 1962
3 38
3.1 959
30 24
300 42
32 960
3and 961
4 39
4.8 988
40 968
48 4901
5 853
58 854
6 855
7 41
70 1839
700 974
7494 2138
7a 975
8 856
80 5088
800 991
9 976
99.8 981
: 79
; 81
? 711
[ 2790
] 3282
a 14
a1 2541
aarhus 989
abandon 1468
abandoned 4226
abandoning 1567
abandonment 1469
abduction 4902
abide 1137
ability 3363
abitur 4062
able 1941
abolish 4771
abolished 3610
abolishes 5231
abolishing 2154
abortion 2793
about 82
above 3779
absence 2250
absent 1800
absolute 4882
absolutely 1046
absolve 3448
absorbing 4090
absorption 3088
abstained 3594
abundant 1047
abundantly 1048
abuse 3089
abused 5205
abuses 928
accept 2357
acceptable 1121
acceptance 277
accepted 3595
accepting 754
accepts 3897
access 858
accessible 3449
accession 108
accidents 3535
accommodating 2515
accompanied 4092
accompany 4093
accompanying 5284
accomplish 2734
accordance 2275
accorded 1948
according 278
accordingly 1081
accords 2358
account 805
accountability 3932
accounting 3611
accounts 2685
accumulates 4474
accumulation 2773
accused 755
achievable 691
achieve 1351
achieved 1942
achievement 1798
achieving 1474
acknowledge 216
acknowledges 3311
acknowledging 1138
acp 2246
acquire 1940
acquired 1943
acquires 1375
acquiring 1944
acquis 2709
across 1049
act 2031
acted 3612
acting 656
action 712
actions 2794
active 279
actively 4475
activities 2795
activity 2101
activity-based 2796
actor 4417
acts 549
actual 280
actually 678
acute 5061
acutely 4476
ad 1841
adapt 1139
adapted 1140
adapts 1141
add 1376
added 1377
adding 2276
addition 1319
additional 5314
additionally 1378
address 1142
addressed 1143
addresses 1144
addressing 1145
adds 5206
adduced 3613
adequately 5090
adhere 1379
adhered 5098
adhering 1146
adjoining 5285
adjourned 3450
adjust 4687
adjustments 5091
administer 4656
administering 2797
administration 1735
administrative 1842
administratively 4094
admirable 1050
admission 3967
admit 4211
admits 5286
admittedly 281
admitting 3269
adolescents 3875
adopt 1568
adopted 2359
adopting 428
adoption 4095
adopts 3785
advance 2112
advanced 3355
advances 3356
advancing 4531
advantage 3357
advent 4096
advertising 2798
advisers 3033
advocate 611
advocated 3451
advocates 3178
advocating 3179
affair 3364
affairs 4696
affect 550
affected 1569
affecting 429
affects 588
affirm 2032
affirmative 3365
affirms 1147
afflicted 4097
afford 3968
african 2360
africans 4589
after 282
aftermath 4173
afterwards 2033
again 1374
against 1148
age 2156
aged 5322
agencies 4706
agenda 2668
ago 3080
agree 962
agreed 806
agreeing 2277
agreement 2034
agreements 1848
agrees 4477
agricultural 430
agriculture 431
ahead 1149
aid 432
aids 1916
aim 1700
aimed 283
aiming 433
aims 4740
air 109
aircraft 1843
aircrew 434
airline 3776
airlines 3436
airspace 2251
akin 5153
alarm 2799
alarmed 5342
alarming 2756
alba 5154
albanian 2800
albeit 799
alcoholic 3452
alert 1678
algeria 2155
align 1001
alike 1380
alive 4180
all 4
alleged 4451
aller 2
allergies 3730
allocated 1946
allocates 5092
allocating 2801
allocations 2802
allotted 3421
allow 198
allowances 1919
allowed 3614
allowing 435
allows 1801
alluding 1470
ally 4800
almost 1844
alone 4227
along 1150
alongside 1151
alpine 436
already 744
also 437
alter 1298
alternative 2803
alters 3090
although 63
altogether 3180
