electronically	2221
quo	2219
constitutional	2218
respects	2217
theory	2216
wishing	2213
allow	2210
strict	2208
rapid	2205
pushes	2204
succeed	2203
unified	2202
upturn	2200
self-supporting	2199
expressing	2198
realise	2196
carefully	2192
explained	2191
educating	2190
badly	2189
socialist	2187
consolidation	2186
expired	2184
pursue	2183
known	2181
subsidiary	2177
interfaces	2176
tampere	2175
productive	2174
becoming	2172
voting	2171
reference	2170
round	2169
onus	2167
whatever	2166
resumption	2165
changeover	2164
repayment	2163
seeking	2162
phased	2161
workable	2160
fourthly	2159
passes	2157
fair	2156
prepare	2152
comparison	2151
improvement	2150
exceptionally	2147
pure	2144
nationalisation	2143
careful	2142
cost-intensive	2141
fell	2140
pillars	2137
producers	2178
children	2136
step	2134
framework	2132
join	2130
front	2129
survey	2128
systematic	2127
socially	2126
shipment	2125
delivered	2124
adjourned	2123
contributions	2122
demand-orientated	2120
wrongly	2206
concentrating	2116
decade	2115
commitment	2111
schools	2107
capable	2105
inject	2102
speaker	2100
hearing	2099
line	2098
warning	2097
traditional	2096
accused	2095
equitably	2094
viable	2092
reliable	2091
left	2090
presently	2088
absent	2086
content	2083
forget	2081
everyone	2079
nations	2078
background	2076
wonder	2072
foundation	2071
bad	2070
reminiscent	2069
nevertheless	2067
relate	2110
plooij-van	2066
seppänen	2063
commented	2059
throughout	2057
enormous	2056
delays	2053
ever	2050
guidance	2049
involved	2047
hedge	2038
quickly	2036
wholehearted	2032
records	2027
interregional	2077
commandment	2025
portugal	2024
intentions	2060
interchange	2017
seven	2182
inadmissible	2015
strategy	2009
phase	2008
depend	2006
involves	2005
coming	2004
preussag	2003
administration	1999
remit	2054
rating	1995
limit	1987
ban	1985
assessment	1982
learn	2106
reiterate	1977
confirm	1975
competently	1973
climate	1969
accomplished	2138
grateful	1967
interpretation	1960
urged	1958
reality	1953
private	1952
establishment	1951
shortage	1992
probably	1947
room	2046
formally	2011
greatest	2062
essential	1943
study	1937
longstanding	1936
regular	2113
afternoon	1935
petersen	1934
addition	1929
steer	1928
requesting	1927
ppe-de	1926
emphasises	1925
gorsel	1923
perceive	1922
welcome	1920
provides	1914
played	1912
drew	1911
apart	1908
before	1904
prices	1903
japan	1963
flexible	1900
exciting	1899
attentive	1898
denominator	1893
excuse	1891
watered	1890
marker	1889
competition-friendly	1885
anyone	1883
keep	1879
proceed	1878
prevent	2131
subsidies	2043
television	1876
object	1874
forum	2016
forces	1873
supporting	1872
damaged	1869
regret	1966
fill	1866
thinking	1865
stage	1860
surely	1857
instructive	1855
consistently	1851
product	1850
invest	1938
logical	1849
completed	2155
perfectly	1848
p.m.	1844
unclear	1842
outside	2201
essentially	1838
doing	1837
kinds	1822
entails	1821
geographical	1819
employers	1817
summarise	1815
percentage	1813
stressing	1808
detriment	1805
following	1804
chosen	1801
deviate	1797
manage	1796
instrument	1795
certificates	1791
sorry	1789
doubt	2153
terribly	1788
successive	1785
determined	1783
failing	1780
resumed	1778
declare	1777
attempted	1774
exclusion	1772
represent	1770
standard	1764
outcomes	1763
technology	2108
explanation	1762
enough	1761
hereby	1760
extent	1758
replaced	1755
operators	1749
coherence	1746
full	1737
bear	2058
investment	1736
dealt	1734
consider	1733
elements	1731
squeezed	1730
substantive	1728
north	1826
military	2168
islands	1722
proliferation	1721
exemptions	1716
systems	1713
ideal	1711
additionality	1703
measured	1877
smes	1702
characterised	1696
lesser	1694
indicators	1693
entrenchment	1684
bank	1681
dawn	1679
floor	1678
stringent	1751
vigorously	1677
answer	1675
lower	1670
accord	1669
deep	1962
distinguished	1667
varies	1665
june	1810
genuine	1662
inhabitants	1661
putting	1659
programming	1657
lynne	2061
later	1656
minimis	1660
free	1655
advocates	1654
planning	1653
innocent	1652
directives	1650
principles	1647
myself	1645
investments	1643
subvert	2013
equally	1642
differentiating	2212
amend	1640
passing	1638
dates	1636
poettering	1632
outermost	1629
caused	1625
review	1622
final	1668
method	1618
subsidiarity	1628
discuss	1617
france	1615
diversity	1613
looks	1830
consequently	1612
admiration	1609
institutions	1607
1989	1601
involve	1600
job	1595
geneva	1592
wales	1591
diverted	1588
telling	1587
pre-accession	1959
old	1580
structurally	1579
recommendations	1578
danish	1577
northern	1576
hi-tech	1567
competence	1605
9002	1790
adequately	1564
world	1563
abc	1562
keeping	1558
directorate	1557
departments	1555
finland	1554
equal	1550
phasing	1786
decide	1546
subsidy	1545
wants	1543
favours	2018
register	1542
supposedly	1541
services	1534
direction	1533
meeting	1529
distributed	1528
activity	1525
others	1523
ideologue	1522
holzmann	1924
reads	1517
goes	1516
complicated	1514
money	1511
strike	1752
nothing	1902
technological	1971
culture	1509
opportunities	1507
required	1680
sole	1931
creation	1505
criticised	1503
majority	1501
right-wing	1500
profits	1498
advertising	1494
gesture	1493
financed	1620
beyond	1944
closely	1492
irresponsible	1814
apply	1485
staircases	1833
accorded	1674
labour	1484
heard	1482
considered	1480
deliberations	1479
budgetary	1477
transportation	1476
slowly	1474
living	1468
achieving	1467
condition	1466
valuable	1462
relevant	1460
ventilators	1459
11	1458
anyway	1457
single	1456
compensate	1828
oral	1455
regards	1453
peripheral	1452
impeding	1483
cornerstones	1451
increasing	1450
compete	2197
competent	1448
competences	1447
absolutely	1717
explanations	1445
unfortunate	1444
afford	2019
called	1441
expeditiously	1439
none	1438
hours	1861
disturbing	1682
statement	1434
effort	1431
reflect	1945
together	1429
terminating	1641
enlighten	1428
appeal	1964
parliamentary	1427
witnessed	1720
collate	1424
writing	1422
predecessor	1419
repair	1845
track	1417
observations	1539
supervise	1416
inadequate	1663
judge	1414
harmonising	1412
piece	1729
reinstated	2109
delegating	1410
products	1408
conclude	1404
comment	1403
schemes	1596
unjustifiable	1398
alike	1393
indicated	1388
themselves	1386
colleague	1384
codecision	1383
managed	2207
success	1382
logic	1633
accommodated	1380
relationships	1575
disabled	1917
lines	1379
cite	1377
stagnation	1582
materials	1376
fifthly	1373
targeted	1372
unimpeded	1544
somewhat	1370
worst	1367
hidden	1365
berenguer	1363
context	1559
dutch	1361
college	2026
environment	1359
renovation	1353
monday	1634
procedure	1351
comitology	1350
conference	1471
spent	1552
set	1349
distortion	1532
relates	1345
joint	1344
appears	1343
requirements	1599
back	1341
provisions	2022
incentives	1335
term	1496
memorandums	1332
opinions	1326
municipalities	1325
compulsory	1753
loose	1324
hell	1322
extending	1321
commenting	1405
central	1317
hinders	1315
contains	2028
encourage	1313
disadvantage	1311
considerable	1310
unfortunately	1309
gives	1306
experience	2039
special	1304
costly	1303
sectoral	1300
type	1299
reunion	1298
moreover	1812
periodic	1296
sixth	1295
turn	1294
italy	1293
boosting	1802
minimal	1292
merely	1290
reasonable	1289
asking	1287
islander	1314
applies	1286
processes	1443
vigilance	1285
appreciate	1284
flexibility	1283
towns	1829
doubtful	1281
catalogue	1279
sectors	1278
instructions	1277
mix	1273
tax	1272
eliminate	1832
aggravates	1270
abuses	1269
preventing	1268
pay	1724
shortly	1895
although	1266
procedures	1265
than	1264
meaningful	1948
uk	1366
moves	1261
wynn	1258
discredited	1257
persuades	1256
powers	1253
industrial	1858
cities	1251
tape	1244
news	1241
soon	1239
powerful	1238
latest	1387
making	1237
supports	1236
structures	1449
facts	1233
red	1246
vast	1231
well-intentioned	2029
levels	1230
placed	1228
comes	1267
emphasis	1227
borders	1330
remain	1225
satisfy	1223
him	1220
implementation	1219
around	1637
legislation	1216
referred	1212
rate	1211
unemployment	1210
reduction	1209
madeira	1208
azores	1207
drill	1206
applied	1464
capacity	1818
fire	1205
appealing	1204
raises	1706
successful	1203
alert	1201
gap	1200
seen	1197
affected	1193
suggest	1972
questions	1191
assessed	1189
festive	1187
enjoyed	1185
correctly	1747
wrote	1184
prevails	1970
related	1333
strongly	1182
condemned	1181
vague	1177
employment	1176
cargo	1175
forcefully	1174
channel	1362
